,datetime,athlete,distance,duration,gender,age_group,country,major
0,2019-01-01,0,0.0,0.0,F,18 - 34,United States,CHICAGO 2019
1,2019-01-01,1,5.27,30.2,M,35 - 54,Germany,BERLIN 2016
2,2019-01-01,2,0.0,0.0,M,35 - 54,United Kingdom,"LONDON 2018,LONDON 2019"
3,2019-01-01,3,10.5,43.949999999999996,M,18 - 34,United Kingdom,LONDON 2017
4,2019-01-01,4,9.66,48.65,M,35 - 54,United States,BOSTON 2017
5,2019-01-01,5,10.38,50.13333333333333,F,35 - 54,United States,BOSTON 2015
6,2019-01-01,6,10.11,53.18333333333333,M,55 +,United States,BOSTON 2017
7,2019-01-01,7,0.0,0.0,M,35 - 54,Australia,CHICAGO 2012
8,2019-01-01,8,9.989999999999998,57.266666666666666,M,35 - 54,United Kingdom,LONDON 2019
9,2019-01-01,9,0.0,0.0,M,35 - 54,Germany,BERLIN 2016
